,Unnamed: 0,closed,opened,duration,status,seg_id,created,ID,decision,score,assignee_masked,unique_task_id,avg_opened_time
504,504,2022-01-03 17:18:25.196000000,1641229944475000064,359.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,12,8646911361344285552,1.330520006476721e+18
508,508,2022-01-03 15:27:41.679000064,1641223357137999872,302.0,closed,864691136134428555,2021-12-30 13:29:06.945000000,2,yes,1.0,16,8646911361344285552,1.330520006476721e+18
655,655,2022-01-03 15:45:17.951000064,1641224402936000000,313.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,19,86469113593931084912,1.3305270410598636e+18
654,654,2022-01-03 15:38:19.887000064,1641224091059000064,208.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,18,86469113593931084912,1.3305270410598636e+18
653,653,2022-01-03 16:11:51.943000064,1641225980191000064,329.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,17,86469113593931084912,1.3305270410598636e+18
652,652,2022-01-03 15:51:23.668999936,1641224864094000128,217.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,16,86469113593931084912,1.3305270410598636e+18
1659,1659,2022-01-03 16:08:30.824000000,1641225496503000064,614.0,closed,864691135939310849,2021-12-30 13:31:15.444000000,12,yesConditional,1.0,25,86469113593931084912,1.3305270410598636e+18
1660,1660,2022-01-03 15:42:33.148000000,1641224388336999936,163.0,closed,864691135939310849,2021-12-30 13:31:15.444000000,12,yesConditional,1.0,26,86469113593931084912,1.3305270410598636e+18
656,656,2022-01-03 15:52:10.527000064,-9223372036854775808,168.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,no,0.0,20,86469113593931084912,1.3305270410598636e+18
651,651,2022-01-03 15:58:20.451000064,1641225173120000000,327.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,15,86469113593931084912,1.3305270410598636e+18
649,649,2022-01-03 15:46:22.747000064,1641224312068000000,470.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,13,86469113593931084912,1.3305270410598636e+18
648,648,2022-01-03 18:26:54.572999936,1641234371560999936,42.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,errorNearby,0.5,12,86469113593931084912,1.3305270410598636e+18
647,647,2022-01-10 20:28:35.939000064,1641846457652000000,57.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,11,86469113593931084912,1.3305270410598636e+18
646,646,2022-01-03 16:03:20.995000064,1641225520788999936,280.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,10,86469113593931084912,1.3305270410598636e+18
645,645,2022-01-03 15:40:40.361999872,1641224304008999936,136.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,9,86469113593931084912,1.3305270410598636e+18
644,644,2022-01-03 15:50:11.664999936,1641224874315000064,136.0,closed,864691135939310849,2021-12-30 13:29:11.824000000,12,yesConditional,1.0,8,86469113593931084912,1.3305270410598636e+18
