,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_humfrey_iters,decimation_factor,comments,proposed_endpoints
45,46,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
46,47,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.6366666666666670,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
47,48,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.6911111111111110,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
48,49,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.7455555555555560,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
49,50,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,100,0.8,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
50,51,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
51,52,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
52,53,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
53,54,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
54,55,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
55,56,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
56,57,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.6366666666666670,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
57,58,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.6911111111111110,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
58,59,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.7455555555555560,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
59,60,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,125,0.8,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
60,61,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
61,62,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
62,63,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
63,64,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
64,65,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
65,66,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
66,67,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.6366666666666670,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
67,68,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.6911111111111110,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
68,69,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.7455555555555560,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
69,70,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,150,0.8,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
70,71,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
71,72,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
72,73,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
73,74,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
74,75,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
75,76,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
76,77,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.6366666666666670,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
77,78,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.6911111111111110,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
78,79,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.7455555555555560,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
79,80,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,175,0.8,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
80,81,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
81,82,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
82,83,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
83,84,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
84,85,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
85,86,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
86,87,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.6366666666666670,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
87,88,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.6911111111111110,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
88,89,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.7455555555555560,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
89,90,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,200,0.8,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
90,91,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
91,92,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
92,93,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
93,94,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
94,95,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
95,96,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
96,97,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.6366666666666670,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
97,98,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.6911111111111110,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
98,99,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.7455555555555560,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
99,100,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4600,225,0.8,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
100,101,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.31,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
101,102,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.36444444444444400,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
102,103,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.41888888888888900,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
103,104,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.47333333333333300,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
104,105,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.5277777777777780,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
105,106,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.5822222222222220,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
106,107,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.6366666666666670,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
107,108,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.6911111111111110,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
108,109,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.7455555555555560,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
109,110,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,0,0.8,good,"[[ 99975 172352  18832]
 [100590 173439  18528]
 [102558 175749  18514]]"
110,111,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,25,0.31,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
111,112,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,25,0.36444444444444400,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
112,113,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,25,0.41888888888888900,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
113,114,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,25,0.47333333333333300,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
114,115,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,25,0.5277777777777780,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
115,116,0.3333333333333330,0.5,0.4,864691136584897745,2,"[[103037 175591  18434]
 [ 99978 172371  18836]]",4800,25,0.5822222222222220,good,"[[ 99985 172365  18832]
 [100594 173444  18528]
 [102563 175751  18514]]"
