,run,precision,recall,f1,seg_id,num_endpoints,endpoints,invalidation_d,num_laplacian_iters,decimation_factor,comments,proposed_endpoints
33,34,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.47333333333333333,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
34,35,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.5277777777777778,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
35,36,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.5822222222222222,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
36,37,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.6366666666666667,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
37,38,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.6911111111111111,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
38,39,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.7455555555555555,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
39,40,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,75,0.8,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
40,41,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,100,0.31,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
41,42,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,100,0.36444444444444446,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
42,43,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,100,0.41888888888888887,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
43,44,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,100,0.47333333333333333,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
44,45,0.2,0.5,0.28571428571428575,864691135920135864,2,"[[ 77575 107807  21133]
 [ 77000  99565  21215]]",4600,100,0.5277777777777778,good,"[[ 77951 100683  21237]
 [ 77338 106419  21250]
 [ 77368 106388  21248]
 [ 77295 107823  21215]
 [ 76782  99744  21203]]"
